python version,line_number,status,error message
7,216,-2,invalid syntax
8,216,-2,invalid syntax
9,216,-2,invalid syntax
10,216,-2,invalid syntax
11,216,-2,invalid syntax
12,216,-2,invalid syntax
13,216,-2,invalid syntax
5,217,0,
6,217,0,
7,217,-2,invalid syntax
8,217,-2,invalid syntax
9,217,-2,invalid syntax
10,217,-2,invalid syntax
11,217,-2,invalid syntax
12,217,-2,invalid syntax
13,217,-2,invalid syntax
5,218,0,
6,218,0,
7,218,-2,invalid syntax
8,218,-2,invalid syntax
9,218,-2,invalid syntax
10,218,-2,invalid syntax
11,218,-2,invalid syntax
12,218,-2,invalid syntax
13,218,-2,invalid syntax
5,219,0,
6,219,0,
7,219,-2,invalid syntax
8,219,-2,invalid syntax
9,219,-2,invalid syntax
10,219,-2,invalid syntax
11,219,-2,invalid syntax
12,219,-2,invalid syntax
13,219,-2,invalid syntax
5,22,0,
6,22,0,
7,22,-2,invalid syntax
8,22,-2,invalid syntax
9,22,-2,invalid syntax
10,22,-2,invalid syntax
11,22,-2,invalid syntax
12,22,-2,invalid syntax
13,22,-2,invalid syntax
5,220,0,
6,220,0,
7,220,-2,invalid syntax
8,220,-2,invalid syntax
9,220,-2,invalid syntax
10,220,-2,invalid syntax
11,220,-2,invalid syntax
12,220,-2,invalid syntax
13,220,-2,invalid syntax
5,221,0,
6,221,0,
7,221,-2,invalid syntax
8,221,-2,invalid syntax
9,221,-2,invalid syntax
10,221,-2,invalid syntax
11,221,-2,invalid syntax
12,221,-2,invalid syntax
13,221,-2,invalid syntax
5,222,0,
6,222,0,
7,222,-2,invalid syntax
8,222,-2,invalid syntax
9,222,-2,invalid syntax
10,222,-2,invalid syntax
11,222,-2,invalid syntax
12,222,-2,invalid syntax
13,222,-2,invalid syntax
5,223,0,
6,223,0,
7,223,-2,invalid syntax
8,223,-2,invalid syntax
9,223,-2,invalid syntax
10,223,-2,invalid syntax
11,223,-2,invalid syntax
12,223,-2,invalid syntax
13,223,-2,invalid syntax
5,224,0,
6,224,0,
7,224,-2,invalid syntax
8,224,-2,invalid syntax
9,224,-2,invalid syntax
10,224,-2,invalid syntax
11,224,-2,invalid syntax
12,224,-2,invalid syntax
13,224,-2,invalid syntax
5,225,0,
6,225,0,
7,225,-2,invalid syntax
8,225,-2,invalid syntax
9,225,-2,invalid syntax
10,225,-2,invalid syntax
11,225,-2,invalid syntax
12,225,-2,invalid syntax
13,225,-2,invalid syntax
5,226,0,
6,226,0,
7,226,-2,invalid syntax
8,226,-2,invalid syntax
9,226,-2,invalid syntax
10,226,-2,invalid syntax
11,226,-2,invalid syntax
12,226,-2,invalid syntax
13,226,-2,invalid syntax
5,227,0,
6,227,0,
7,227,-2,invalid syntax
8,227,-2,invalid syntax
9,227,-2,invalid syntax
10,227,-2,invalid syntax
11,227,-2,invalid syntax
12,227,-2,invalid syntax
13,227,-2,invalid syntax
5,229,0,
6,229,0,
7,229,-2,invalid syntax
8,229,-2,invalid syntax
9,229,-2,invalid syntax
10,229,-2,invalid syntax
11,229,-2,invalid syntax
12,229,-2,invalid syntax
13,229,-2,invalid syntax
5,24,0,
6,24,0,
7,24,-2,invalid syntax
8,24,-2,invalid syntax
9,24,-2,invalid syntax
10,24,-2,invalid syntax
11,24,-2,invalid syntax
12,24,-2,invalid syntax
13,24,-2,invalid syntax
5,28,0,
6,28,0,
7,28,-2,invalid syntax
8,28,-2,invalid syntax
9,28,-2,invalid syntax
10,28,-2,invalid syntax
11,28,-2,invalid syntax
12,28,-2,invalid syntax
13,28,-2,invalid syntax
5,29,0,
6,29,0,
7,29,-2,invalid syntax
8,29,-2,invalid syntax
9,29,-2,invalid syntax
10,29,-2,invalid syntax
11,29,-2,invalid syntax
12,29,-2,invalid syntax
13,29,-2,invalid syntax
5,31,0,
6,31,0,
7,31,-2,invalid syntax
8,31,-2,invalid syntax
9,31,-2,invalid syntax
10,31,-2,invalid syntax
11,31,-2,invalid syntax
12,31,-2,invalid syntax
13,31,-2,invalid syntax
5,35,0,
6,35,0,
7,35,-2,invalid syntax
8,35,-2,invalid syntax
9,35,-2,invalid syntax
10,35,-2,invalid syntax
11,35,-2,invalid syntax
12,35,-2,invalid syntax
13,35,-2,invalid syntax
5,36,0,
6,36,0,
7,36,-2,invalid syntax
8,36,-2,invalid syntax
9,36,-2,invalid syntax
10,36,-2,invalid syntax
11,36,-2,invalid syntax
12,36,-2,invalid syntax
13,36,-2,invalid syntax
5,42,0,
6,42,0,
7,42,-2,invalid syntax
8,42,-2,invalid syntax
9,42,-2,invalid syntax
10,42,-2,invalid syntax
11,42,-2,invalid syntax
12,42,-2,invalid syntax
13,42,-2,invalid syntax
5,46,0,
6,46,0,
7,46,-2,invalid syntax
8,46,-2,invalid syntax
9,46,-2,invalid syntax
10,46,-2,invalid syntax
11,46,-2,invalid syntax
12,46,-2,invalid syntax
13,46,-2,invalid syntax
5,47,0,
6,47,0,
7,47,-2,invalid syntax
8,47,-2,invalid syntax
9,47,-2,invalid syntax
10,47,-2,invalid syntax
11,47,-2,invalid syntax
12,47,-2,invalid syntax
13,47,-2,invalid syntax
5,5,0,
6,5,0,
7,5,-2,invalid syntax
8,5,-2,invalid syntax
9,5,-2,invalid syntax
10,5,-2,invalid syntax
11,5,-2,invalid syntax
12,5,-2,invalid syntax
13,5,-2,invalid syntax
5,53,0,
6,53,0,
7,53,-2,invalid syntax
8,53,-2,invalid syntax
9,53,-2,invalid syntax
10,53,-2,invalid syntax
11,53,-2,invalid syntax
12,53,-2,invalid syntax
13,53,-2,invalid syntax
5,57,0,
6,57,0,
7,57,-2,invalid syntax
8,57,-2,invalid syntax
9,57,-2,invalid syntax
10,57,-2,invalid syntax
11,57,-2,invalid syntax
12,57,-2,invalid syntax
13,57,-2,invalid syntax
5,58,0,
6,58,0,
7,58,-2,invalid syntax
8,58,-2,invalid syntax
9,58,-2,invalid syntax
10,58,-2,invalid syntax
11,58,-2,invalid syntax
12,58,-2,invalid syntax
13,58,-2,invalid syntax
5,64,0,
6,64,0,
7,64,-2,invalid syntax
8,64,-2,invalid syntax
9,64,-2,invalid syntax
10,64,-2,invalid syntax
11,64,-2,invalid syntax
12,64,-2,invalid syntax
13,64,-2,invalid syntax
5,68,0,
6,68,0,
7,68,-2,invalid syntax
8,68,-2,invalid syntax
9,68,-2,invalid syntax
10,68,-2,invalid syntax
11,68,-2,invalid syntax
12,68,-2,invalid syntax
